lemma,pos,other_verified_pos,verified_by,oxford_levels_same_pos,oxford_entry,octanove_level,cefrj_level,disagreement,corpus,efllex_word,efllex_pos,efllex_match,efllex_a1,efllex_a2,efllex_b1,efllex_b2,efllex_c1,efllex_total,efllex_nb_doc,efllex_first_level,efllex_b2c1_share,zipf
abolish,verb,,oxford5000,c1,abolish,C2,B2,cefrj:B2,efllex,abolish,verb,lemma+pos,0.0,0.0,0.0,0.0,0.8152,0.2268,1,C1,1.0,3.48
absence,noun,,oxford5000,c1,absence,,B1,cefrj:B1,efllex,absence,noun,lemma+pos,0.0,0.0,1.3622,6.4517,0.9357,3.3764,5,B1,0.844,4.34
absent,adjective,,oxford5000,c1,absent_1,,B1,cefrj:B1,efllex,absent,adjective,lemma+pos,0.0,0.0,2.1495,0.6729,0.6091,1.4933,3,B1,0.374,3.98
absurd,adjective,,oxford5000,c1,absurd,,B2,cefrj:B2,efllex,absurd,adjective,lemma+pos,0.0,0.0,0.0,0.6749,0.6091,0.6752,2,B2,1.0,3.95
abundance,noun,,oxford5000,c1,abundance,C2,B1,cefrj:B1,wordfreq,,,,,,,,,,,,,3.86
abuse,noun,verb,oxford5000,c1,abuse_1,,B2,cefrj:B2,efllex,abuse,noun,lemma+pos,0.0,0.0,0.0,0.0,0.8152,0.2268,1,C1,1.0,4.66
academy,noun,,oxford5000,c1,academy,,B1,cefrj:B1,wordfreq,,,,,,,,,,,,,4.57
accelerate,verb,,oxford5000,c1,accelerate,,,,efllex,accelerate,verb,lemma+pos,0.0,0.0,0.0,0.0,2.4455,0.6803,3,C1,1.0,3.66
acceptance,noun,,oxford5000,c1,acceptance,,B1,cefrj:B1,efllex,acceptance,noun,lemma+pos,0.0,0.0,0.0,0.0,1.0665,0.0796,1,C1,1.0,4.16
accessible,adjective,,oxford5000,c1,accessible,,B1,cefrj:B1,efllex,accessible,adjective,lemma+pos,0.0,0.0,0.0,3.619,0.8152,1.2795,3,B2,1.0,4.18
accomplishment,noun,,oxford5000,c1,accomplishment,,,,efllex,accomplishment,noun,lemma+pos,0.0,0.0,0.0,0.8294,0.0,0.2268,1,B2,1.0,3.69
accordance,noun,,oxford5000,c1,accordance,,,,wordfreq,,,,,,,,,,,,,4.13
accordingly,adverb,,oxford5000,c1,accordingly,,B2,cefrj:B2,efllex,accordingly,adverb,lemma+pos,0.0,0.0,0.0,0.0,0.8152,0.2268,1,C1,1.0,4.02
accountability,noun,,oxford5000,c1,accountability,C2,,,wordfreq,,,,,,,,,,,,,3.91
accountable,adjective,,oxford5000,c1,accountable,,,,efllex,accountable,adjective,lemma+pos,0.0,0.0,0.0,7.8372,0.0,1.7665,3,B2,1.0,3.9
accumulate,verb,,oxford5000,c1,accumulate,,B2,cefrj:B2,efllex,accumulate,verb,lemma+pos,0.0,0.0,1.3622,0.0,0.8152,0.7381,2,B1,0.374,3.48
accumulation,noun,,oxford5000,c1,accumulation,,,,wordfreq,,,,,,,,,,,,,3.59
accusation,noun,,oxford5000,c1,accusation,,B2,cefrj:B2,wordfreq,,,,,,,,,,,,,3.6
accused,noun,,oxford5000,c1,the-accused,,,,wordfreq,,,,,,,,,,,,,4.46
acid,adjective,,oxford5000,c1,acid_2,,,,efllex,acid,noun,lemma,0.0,6.6381,0.0,0.0,0.0,0.2513,5,A2,0.0,4.45
acquisition,noun,,oxford5000,c1,acquisition,,B2,cefrj:B2,wordfreq,,,,,,,,,,,,,4.26
activation,noun,,oxford5000,c1,activation,,,,wordfreq,,,,,,,,,,,,,3.83
activist,noun,,oxford5000,c1,activist,,,,efllex,activist,noun,lemma+pos,0.0,0.0,0.0,0.0,0.1559,0.0314,1,C1,1.0,4.13
acute,adjective,,oxford5000,c1,acute,,B2,cefrj:B2,wordfreq,,,,,,,,,,,,,4.0
adaptation,noun,,oxford5000,c1,adaptation,,,,wordfreq,,,,,,,,,,,,,4.01
adhere,verb,,oxford5000,c1,adhere,C2,,,efllex,adhere,verb,lemma+pos,0.0,0.0,0.0,0.0,0.6091,0.0803,1,C1,1.0,3.57
adjacent,adjective,,oxford5000,c1,adjacent,,,,efllex,adjacent,adjective,lemma+pos,0.0,0.0,0.0,0.1311,0.1804,0.6236,2,B2,1.0,4.12
adjustment,noun,,oxford5000,c1,adjustment,,B2,cefrj:B2,wordfreq,,,,,,,,,,,,,3.88
administer,verb,,oxford5000,c1,administer,,,,wordfreq,,,,,,,,,,,,,3.54
administrative,adjective,,oxford5000,c1,administrative,,B2,cefrj:B2,efllex,administrative,adjective,lemma+pos,0.0,0.0,0.0,0.0,0.9605,0.0717,1,C1,1.0,4.45
administrator,noun,,oxford5000,c1,administrator,,,,wordfreq,,,,,,,,,,,,,4.07
admission,noun,,oxford5000,c1,admission,,B1,cefrj:B1,efllex,admission,noun,lemma+pos,0.0,1.774,0.0,0.0,0.0,0.4535,1,A2,0.0,4.15
adolescent,noun,,oxford5000,c1,adolescent_1,,,,efllex,adolescent,noun,lemma+pos,0.0,0.0,0.0,0.0,0.8152,0.2268,1,C1,1.0,3.58
adoption,noun,,oxford5000,c1,adoption,,B2,cefrj:B2,efllex,adoption,noun,lemma+pos,0.0,0.0,1.3622,0.0,1.2183,0.9894,3,B1,0.472,4.17
advantageous,adjective,,octanove,,,"C1,C2",,,efllex,advantageous,adjective,lemma+pos,0.0,0.0,0.0,0.0,0.1559,0.0314,1,C1,1.0,3.33
adverse,adjective,,oxford5000,c1,adverse,C2,B2,cefrj:B2,wordfreq,,,,,,,,,,,,,3.89
advocate,noun,verb,oxford5000,c1,advocate_1,,,,efllex,advocate,noun,lemma+pos,0.0,0.0,0.0,0.0,0.8152,0.2268,1,C1,1.0,4.21
aesthetic,adjective,,oxford5000,c1,aesthetic_1,C1,,,efllex,aesthetic,adjective,lemma+pos,0.0,0.0,0.0,0.8294,0.1804,0.611,2,B2,1.0,4.02
affection,noun,,oxford5000,c1,affection,,B1,cefrj:B1,efllex,affection,noun,lemma+pos,0.0,0.0,8.042,1.3498,2.133,3.3339,6,B1,0.302,3.92
aftermath,noun,,oxford5000,c1,aftermath,,,,wordfreq,,,,,,,,,,,,,3.9
aggression,noun,,oxford5000,c1,aggression,,,,efllex,aggression,noun,lemma+pos,0.0,0.0,1.3622,0.0,0.0,0.0812,1,B1,0.0,3.9
agreeable,adjective,,octanove,,,C1,,,efllex,agreeable,adjective,lemma+pos,0.0,0.0,0.0,0.0,0.8152,0.2268,1,C1,1.0,3.19
agricultural,adjective,,oxford5000,c1,agricultural,,B1,cefrj:B1,efllex,agricultural,adjective,lemma+pos,0.0,0.0,0.0,0.4103,0.6091,0.1606,2,B2,1.0,4.34
aide,noun,,oxford5000,c1,aide,,,,wordfreq,,,,,,,,,,,,,3.69
albeit,conjunction,,oxford5000,c1,albeit,,,,wordfreq,,,,,,,,,,,,,3.91
alert,adjective,noun;verb,oxford5000,c1,alert_3,,,,efllex,alert,adjective,lemma+pos,0.0,0.0,0.0,0.0,1.6303,0.4535,2,C1,1.0,4.33
alien,adjective,,oxford5000,c1,alien_2,,,,efllex,alien,adjective,lemma+pos,0.0,0.0,0.0,5.8056,0.0,1.5874,3,B2,1.0,4.29
alienate,verb,,octanove,,,C1,,,efllex,alienate,verb,lemma+pos,0.0,0.0,0.0,0.0,0.6091,0.0803,1,C1,1.0,3.03
align,verb,,oxford5000,c1,align,C1,,,efllex,align,verb,lemma+pos,0.0,0.0,0.0,0.0,0.8152,0.2268,1,C1,1.0,3.63
alignment,noun,,oxford5000,c1,alignment,C1,,,wordfreq,,,,,,,,,,,,,3.78
alike,adverb,adjective,oxford5000,c1,alike_1,,B1,cefrj:B1,efllex,alike,adverb,lemma+pos,0.0,1.1119,0.296,0.0,16.2406,5.5225,8,A2,0.92,4.13
allegation,noun,,oxford5000,c1,allegation,C1,B2,cefrj:B2,wordfreq,,,,,,,,,,,,,3.5
allege,verb,,oxford5000,c1,allege,C1,,,efllex,allege,verb,lemma+pos,0.0,0.0,0.0,0.0,0.1559,0.0314,1,C1,1.0,3.18
allegedly,adverb,,oxford5000,c1,allegedly,,,,efllex,allegedly,adverb,lemma+pos,0.0,0.0,0.0,0.0,0.1559,0.0314,1,C1,1.0,4.06
alleviate,verb,,octanove,,,C1,,,efllex,alleviate,verb,lemma+pos,0.0,0.0,0.0,0.0,0.8152,0.2268,1,C1,1.0,3.52
alliance,noun,,oxford5000,c1,alliance,,B2,cefrj:B2,efllex,alliance,noun,lemma+pos,0.0,0.0,0.0,0.0,0.6091,0.0803,1,C1,1.0,4.4
allocate,verb,,oxford5000,c1,allocate,,,,efllex,allocate,verb,lemma+pos,0.0,0.0,0.0,0.8294,0.0,0.2268,1,B2,1.0,3.31
allocation,noun,,oxford5000,c1,allocation,,,,efllex,allocation,noun,lemma+pos,0.0,0.0,0.0,0.0,0.1559,0.0314,1,C1,1.0,3.74
allowance,noun,,oxford5000,c1,allowance,,B1,cefrj:B1,efllex,allowance,noun,lemma+pos,0.0,0.0,1.3622,0.0,0.0,0.0812,1,B1,0.0,3.85
ally,noun,,oxford5000,c1,ally_1,,B2,cefrj:B2,efllex,ally,noun,lemma+pos,0.0,0.0,1.6375,1.6588,0.0,0.6803,3,B1,0.503,4.1
aluminium,noun,,oxford5000,c1,aluminium,,B2,cefrj:B2,efllex,aluminium,noun,lemma+pos,0.0,0.0,0.0,0.3154,0.0,0.045,1,B2,1.0,3.73
amateur,adjective,noun,oxford5000,c1,amateur_1,C1,,,efllex,amateur,adjective,lemma+pos,0.0,0.0,0.0,0.8294,0.0,0.2268,1,B2,1.0,4.22
ambassador,noun,,oxford5000,c1,ambassador,,B2,cefrj:B2,wordfreq,,,,,,,,,,,,,4.35
amend,verb,,oxford5000,c1,amend,,,,wordfreq,,,,,,,,,,,,,3.55
amendment,noun,,oxford5000,c1,amendment,,,,wordfreq,,,,,,,,,,,,,4.38
amid,preposition,,oxford5000,c1,amid,C1,,,efllex,amid,preposition,lemma+pos,0.0,0.0,0.0,0.8294,0.0,0.2268,1,B2,1.0,3.95
analogy,noun,,oxford5000,c1,analogy,,B2,cefrj:B2,wordfreq,,,,,,,,,,,,,3.71
anchor,verb,noun,octanove,,,C1,,,efllex,anchor,verb,lemma+pos,0.0,0.0,0.0,0.0,3.9648,0.6236,2,C1,1.0,4.02
anonymous,adjective,,oxford5000,c1,anonymous,,B2,cefrj:B2,efllex,anonymous,adjective,lemma+pos,0.0,0.0,0.0,10.4821,0.8152,1.7186,9,B2,1.0,4.17
anthropology,noun,,octanove,,,C1,,,efllex,anthropology,noun,lemma+pos,0.0,0.0,0.0,0.8294,0.0,0.2268,1,B2,1.0,3.65
appal,verb,,octanove,,,C1,,,efllex,appal,verb,lemma+pos,0.0,0.0,0.0,2.4881,0.0,0.6803,3,B2,1.0,1.63
apparatus,noun,,oxford5000,c1,apparatus,,,,efllex,apparatus,noun,lemma+pos,0.0,0.0,0.0,0.0,0.8152,0.2268,1,C1,1.0,3.78
appealing,adjective,,oxford5000,c1,appealing,,,,efllex,appealing,adjective,lemma+pos,0.0,0.0,0.0,0.0,1.6303,0.4535,2,C1,1.0,3.95
appetite,noun,,oxford5000,c1,appetite,,B1,cefrj:B1,efllex,appetite,noun,lemma+pos,0.0,0.0,0.0,0.0,0.9605,0.0717,1,C1,1.0,3.87
applaud,verb,,oxford5000,c1,applaud,,B1,cefrj:B1,wordfreq,,,,,,,,,,,,,3.46
appliance,noun,,octanove,,,C1,,,efllex,appliance,noun,lemma+pos,0.0,0.5559,0.0,0.3154,0.6091,1.4615,3,A2,0.624,3.35
applicable,adjective,,oxford5000,c1,applicable,,,,wordfreq,,,,,,,,,,,,,4.13
appoint,verb,,oxford5000,c1,appoint,,B1,cefrj:B1,efllex,appoint,verb,lemma+pos,0.0,0.0,0.0,8.1032,12.8341,5.7207,7,B2,1.0,3.7
appreciation,noun,,oxford5000,c1,appreciation,,B1,cefrj:B1,efllex,appreciation,noun,lemma+pos,0.0,0.0,0.0,0.0,0.8152,0.2268,1,C1,1.0,4.12
arbitrary,adjective,,oxford5000,c1,arbitrary,,,,wordfreq,,,,,,,,,,,,,3.85
architectural,adjective,,oxford5000,c1,architectural,,,,efllex,architectural,adjective,lemma+pos,0.0,0.0,0.0,0.0,0.8152,0.2268,1,C1,1.0,3.96
archive,noun,,oxford5000,c1,archive_1,,,,wordfreq,,,,,,,,,,,,,3.98
arena,noun,,oxford5000,c1,arena,,B2,cefrj:B2,wordfreq,,,,,,,,,,,,,4.33
arguably,adverb,,oxford5000,c1,arguably,,,,wordfreq,,,,,,,,,,,,,3.9
arm,verb,,oxford5000,c1,arm_2,,B1,cefrj:B1,efllex,arm,verb,lemma+pos,0.0,0.0,0.0,0.7308,0.9086,0.6792,2,B2,1.0,4.73
array,noun,,oxford5000,c1,array_1,,,,wordfreq,,,,,,,,,,,,,4.1
